,pred
258,0.53094304
259,0.43600196
260,0.55816406
261,0.5386641
262,0.4757396
263,0.6913215
264,0.5608545
265,0.5586178
266,0.32120094
267,0.47871116
268,0.64537066
269,0.44481403
270,0.6117603
271,0.6127007
272,0.37896964
273,0.5378342
274,0.5235221
275,0.36571983
276,0.46471703
277,0.46931785
278,0.3561865
279,0.58002186
280,0.5468993
281,0.5129872
282,0.37477532
283,0.3340224
284,0.40041655
285,0.31358838
286,0.35445797
287,0.501245
288,0.26589516
289,0.41494572
290,0.31675488
291,0.37863785
292,0.69546694
293,0.48966935
294,0.43712196
295,0.52859783
296,0.6206809
297,0.49817154
298,0.4480714
299,0.52208
300,0.6039251
301,0.36202917
302,0.5894651
303,0.47422642
304,0.36067536
305,0.47190464
306,0.6255388
307,0.45353132
308,0.4549747
309,0.519091
310,0.40624395
311,0.39486837
312,0.4510532
313,0.434703
314,0.5775597
315,0.17006294
316,0.3300052
317,0.49849582
318,0.3808073
319,0.5634834
320,0.80245024
321,0.503198
322,0.5076983
323,0.5402346
324,0.48969057
325,0.5345557
326,0.35600564
327,0.5313939
328,0.539043
329,0.6202347
330,0.3684789
331,0.2664956
332,0.53605783
333,0.61212873
334,0.26852143
335,0.38896203
336,0.49844578
337,0.45588377
338,0.77191097
339,0.6001487
340,0.46858162
341,0.5914733
342,0.3783495
343,0.52035105
344,0.27924678
345,0.71584433
346,0.47455525
347,0.6087386
348,0.5923217
349,0.40839157
350,0.33642846
351,0.566185
352,0.7269706
353,0.46391663
354,0.56390655
355,0.6135532
356,0.6159834
357,0.5542056
358,0.682557
359,0.47305167
360,0.43670997
361,0.5929064
362,0.5478532
363,0.52041835
364,0.45776588
365,0.5673692
366,0.566185
367,0.46361017
368,0.43717864
369,0.4511115
370,0.58924735
371,0.35078466
372,0.6269555
373,0.573825
374,0.471161
375,0.72254294
376,0.48084262
377,0.38083953
378,0.5447902
379,0.38937154
380,0.37737477
381,0.3921661
382,0.5960282
383,0.41326424
384,0.6362643
385,0.42889097
386,0.5507249
387,0.49242952
388,0.6141963
389,0.45596942
390,0.52528554
391,0.4831564
392,0.41399252
393,0.57267815
394,0.49650377
395,0.5607453
396,0.4684645
397,0.7719091
398,0.45396182
399,0.56937444
400,0.6021311
401,0.422359
402,0.28473356
403,0.5609633
404,0.4950632
405,0.5557985
406,0.43670997
407,0.4391134
408,0.42178828
409,0.57356954
410,0.27344254
411,0.49284914
412,0.7082677
413,0.5444076
414,0.4119108
415,0.4276017
416,0.5050752
417,0.6139785
418,0.50457686
419,0.5723422
420,0.3211851
421,0.32850292
422,0.4229614
423,0.5334882
424,0.5462453
425,0.33995736
426,0.6568125
427,0.45349947
428,0.52343875
429,0.4134017
430,0.56953514
431,0.55066544
432,0.2515725
433,0.35598347
434,0.5190868
435,0.38990006
436,0.24107878
437,0.48403326
438,0.58458436
439,0.54543835
440,0.7200993
441,0.37575766
442,0.69534755
443,0.564683
444,0.46139318
445,0.3871292
446,0.3901538
447,0.65534544
448,0.34747136
449,0.5249474
450,0.35891247
451,0.67980397
452,0.39144754
453,0.6601426
454,0.52027136
455,0.41584918
456,0.45189348
457,0.55306065
458,0.5184527
459,0.79052424
460,0.4368815
461,0.37721512
462,0.3691855
463,0.5060574
464,0.40624395
465,0.51022756
466,0.55542874
467,0.40206277
468,0.5123867
469,0.5217338
470,0.5596062
471,0.798181
472,0.5504278
473,0.566185
474,0.33039
475,0.64941555
476,0.5061676
477,0.6327592
478,0.5028626
479,0.39356875
480,0.5503162
481,0.49923205
482,0.36458525
483,0.4830904
484,0.4812633
485,0.53659445
486,0.44048303
487,0.48993963
488,0.47700104
489,0.5775597
490,0.61903405
491,0.29407397
492,0.58761615
493,0.27245554
494,0.3035314
495,0.52767617
496,0.46722853
497,0.5315458
498,0.6144474
499,0.5830245
500,0.42317188
501,0.39608085
502,0.3310834
503,0.3479519
504,0.46076995
505,0.6071617
506,0.4659998
507,0.44512638
508,0.3170756
509,0.54313624
510,0.35521066
511,0.5740037
512,0.5953228
513,0.36393914
514,0.5728849
515,0.35771215
516,0.7144986
517,0.38782376
518,0.7144986
519,0.5080527
520,0.34421572
521,0.4217739
522,0.57844305
523,0.39294538
524,0.5688147
525,0.4988436
526,0.5616324
527,0.6152646
528,0.3524983
529,0.46671316
530,0.55031013
531,0.5771942
532,0.529752
533,0.47660735
534,0.6148997
535,0.4603105
536,0.5249132
537,0.42878103
538,0.42356858
539,0.5351074
540,0.5636052
541,0.2664323
542,0.6071474
543,0.5498448
544,0.4997262
545,0.69254583
546,0.26856273
547,0.19047269
548,0.60889333
549,0.47784925
550,0.6215392
551,0.75885993
552,0.6918927
553,0.5701715
554,0.66707826
555,0.64420307
556,0.47784925
557,0.5153595
558,0.57728595
559,0.5728343
560,0.6066933
561,0.4399128
562,0.39569354
563,0.4831564
564,0.43151927
565,0.5104844
566,0.47239175
567,0.55040395
568,0.31755546
569,0.52675647
570,0.32120094
571,0.3469611
572,0.4819355
573,0.49525785
574,0.6594738
575,0.5417894
576,0.34374553
577,0.39616415
578,0.4670428
579,0.60393614
580,0.40246293
581,0.4499161
582,0.34514806
583,0.6420572
584,0.45238298
585,0.39549303
586,0.6244491
587,0.6967256
588,0.47840244
589,0.4433244
590,0.40455788
591,0.40785965
592,0.39089966
593,0.4242547
594,0.66817886
595,0.6172187
596,0.38333148
597,0.6696242
598,0.531498
599,0.286598
600,0.39920142
601,0.47216734
602,0.61508304
603,0.53707814
604,0.722711
605,0.49315757
606,0.30600676
607,0.5440174
608,0.27816904
609,0.4631252
610,0.5957295
611,0.41626388
612,0.67180353
613,0.51185876
614,0.6001487
615,0.34966436
616,0.34548745
617,0.5802642
618,0.5227559
619,0.5069826
620,0.59837675
621,0.43872365
622,0.28948364
623,0.34747136
624,0.30620655
625,0.46455547
626,0.32887775
627,0.4376357
628,0.5164827
629,0.37462497
630,0.34461877
631,0.5497145
632,0.591419
633,0.43581226
634,0.575248
635,0.5760905
636,0.67999333
637,0.7980756
638,0.37677813
639,0.43356192
640,0.42433152
641,0.43480927
642,0.43392217
643,0.41487637
644,0.5186827
645,0.53752875
646,0.47960007
647,0.5687725
648,0.49196735
649,0.28948364
650,0.72254294
651,0.6647097
652,0.47634333
653,0.44854242
654,0.5491784
655,0.52670705
656,0.43032274
657,0.27129373
658,0.32459572
659,0.663366
660,0.64552164
661,0.60436803
662,0.40768316
663,0.4495401
664,0.53598225
665,0.8186482
666,0.6073921
667,0.45192283
668,0.49520078
669,0.56788146
670,0.5125948
671,0.4097172
672,0.57327175
673,0.46202168
674,0.5136272
675,0.49221006
676,0.506965
677,0.48871562
678,0.27800024
679,0.6324628
680,0.5292168
681,0.7170306
682,0.46455547
683,0.566404
684,0.49846834
685,0.40022328
686,0.34046492
687,0.4756972
688,0.72774714
689,0.35685435
690,0.26527306
691,0.44262913
692,0.7181289
693,0.5505044
694,0.46703178
695,0.54874617
696,0.5031655
697,0.48758584
698,0.6412266
699,0.32617858
700,0.43604153
701,0.3867973
702,0.50257117
703,0.67569387
704,0.42261878
705,0.6412266
706,0.43794268
707,0.33039
708,0.40465897
709,0.51889306
710,0.39608085
711,0.4143228
712,0.40659723
713,0.5581479
714,0.5082318
715,0.604367
716,0.41961575
717,0.51059085
718,0.5685756
719,0.526709
720,0.24787085
721,0.8838123
722,0.6066933
723,0.4659998
724,0.39601004
725,0.5109109
726,0.36207002
727,0.50879806
728,0.34138256
729,0.6312514
730,0.36009273
731,0.42946336
732,0.33951738
733,0.30585745
734,0.4602734
735,0.55228305
736,0.3818583
737,0.57256854
738,0.513525
739,0.4812363
740,0.6673903
741,0.51545787
742,0.5597394
743,0.5508784
744,0.41822833
745,0.6066776
746,0.47443452
747,0.60405964
748,0.45084864
749,0.5326894
750,0.664897
751,0.39170557
752,0.68348753
753,0.50110084
754,0.5956577
755,0.5405073
756,0.49957192
757,0.53818715
758,0.41842258
759,0.49846834
760,0.5589698
761,0.4873266
762,0.59939516
763,0.30991706
764,0.46704176
765,0.5258973
766,0.725289
767,0.5632195
768,0.44186932
769,0.55926186
770,0.5313634
771,0.28878742
772,0.56107104
773,0.39294538
774,0.45692343
775,0.56075823
776,0.3984251
777,0.6997916
778,0.5145427
779,0.5198846
780,0.80293286
781,0.610217
782,0.39140683
783,0.486273
784,0.5357145
785,0.41765606
786,0.4300229
787,0.46941876
788,0.51452994
789,0.40648097
790,0.46028608
791,0.37244782
792,0.56196344
793,0.45360333
794,0.8236195
795,0.55609167
796,0.45563063
797,0.5303187
798,0.39926618
799,0.5984058
800,0.36056277
801,0.6035008
802,0.5912342
803,0.4078469
804,0.6861938
805,0.486742
806,0.54543835
807,0.44395238
808,0.3344264
809,0.5483151
810,0.682557
811,0.7251703
812,0.56384164
813,0.36123663
814,0.42935264
815,0.34202442
816,0.5440174
817,0.51598746
818,0.35517105
819,0.23085932
820,0.60610306
821,0.610217
822,0.37453824
823,0.4820591
824,0.43152604
825,0.61903405
826,0.4813394
827,0.47533664
828,0.3551693
829,0.48259372
830,0.68873775
831,0.4299303
832,0.4300229
833,0.51016754
834,0.37609667
835,0.62812096
836,0.55639696
837,0.5289063
838,0.5686914
839,0.5019212
840,0.31788626
841,0.7281501
842,0.556741
843,0.28606543
844,0.4918959
845,0.6231455
846,0.39473552
847,0.5606847
848,0.67485076
849,0.47283226
850,0.548539
851,0.4366616
852,0.54753846
853,0.46136883
854,0.43634352
855,0.5333
856,0.45596942
857,0.5830245
858,0.45619655
859,0.52405137
860,0.5182719
861,0.1853218
862,0.41920537
863,0.42355
864,0.41312584
865,0.59784865
866,0.5495375
867,0.6588698
868,0.40628508
869,0.75953543
870,0.42703635
871,0.5307106
872,0.27800024
873,0.52052844
874,0.55841446
875,0.4423384
876,0.45189348
877,0.649139
878,0.59141445
879,0.36465907
880,0.35281044
881,0.37720054
882,0.33641794
883,0.56072366
884,0.2938935
885,0.5116759
886,0.2680494
887,0.4458111
888,0.6321623
889,0.49889216
890,0.39145726
891,0.4366714
892,0.46638456
893,0.65699536
894,0.17515041
895,0.56180227
896,0.6848189
897,0.84164536
898,0.5262822
899,0.54436195
900,0.40444177
901,0.54550344
902,0.6710329
903,0.26464808
904,0.50601685
905,0.59188366
906,0.5575181
907,0.33750418
908,0.40714553
909,0.55345
910,0.7718878
911,0.39601004
912,0.5170466
913,0.58277595
914,0.53431803
915,0.5505806
916,0.5564402
917,0.5777405
918,0.3952835
919,0.29698646
920,0.49221006
921,0.1532264
922,0.41263375
923,0.44106162
924,0.45396182
925,0.5830245
926,0.6225229
927,0.4276255
928,0.5297701
929,0.5867792
930,0.46563303
931,0.36215633
932,0.3738894
933,0.3344264
934,0.5880677
935,0.53107697
936,0.5219883
937,0.39363405
938,0.3796063
939,0.531857
940,0.42752194
941,0.5354331
942,0.43392217
943,0.3503498
944,0.7651432
945,0.52586275
946,0.34996998
947,0.5144743
948,0.5078167
949,0.5885671
950,0.3049317
951,0.5019016
952,0.4999438
953,0.52035105
954,0.43917602
955,0.67410195
956,0.56646496
957,0.48374024
958,0.6729804
959,0.38489988
960,0.60418653
961,0.5164938
962,0.5268479
963,0.48131615
964,0.38846853
965,0.60478467
966,0.4844703
967,0.3353216
968,0.34275776
969,0.6659679
970,0.5315458
971,0.3551693
972,0.52161545
973,0.46088415
974,0.42511702
975,0.2802536
976,0.5320654
977,0.563602
978,0.52258503
979,0.54331756
980,0.63503903
981,0.33362445
982,0.5483923
983,0.26905766
984,0.6881717
985,0.41618904
986,0.3317689
987,0.360225
988,0.4525024
989,0.37511137
990,0.39486825
991,0.48994473
992,0.7570359
993,0.56815165
994,0.35099003
995,0.5970904
996,0.49022222
997,0.9097926
998,0.50945896
999,0.50659955
1000,0.5775597
1001,0.38896203
1002,0.52093613
1003,0.3780568
1004,0.40246293
1005,0.47000048
1006,0.35243177
1007,0.65589714
1008,0.86641973
1009,0.36072353
1010,0.4670766
1011,0.4699831
1012,0.6302489
1013,0.43498182
1014,0.47714055
1015,0.70066184
1016,0.51164347
1017,0.5550161
1018,0.26589516
1019,0.5189369
1020,0.5307106
1021,0.53427696
1022,0.46871158
1023,0.5602184
1024,0.5616324
1025,0.49737945
1026,0.47418267
1027,0.46041846
1028,0.65764576
1029,0.56969994
1030,0.43061084
1031,0.5763058
1032,0.46471703
1033,0.6495005
1034,0.63809115
1035,0.38956523
1036,0.62035966
1037,0.5393594
1038,0.5529378
1039,0.58505476
1040,0.62679744
1041,0.7144986
1042,0.38576704
1043,0.5468109
1044,0.41820893
1045,0.49505487
1046,0.55161166
1047,0.47250414
1048,0.708226
1049,0.47260806
1050,0.5000557
1051,0.52052844
1052,0.5288993
1053,0.44167668
1054,0.5643546
1055,0.545968
1056,0.33439225
1057,0.52728677
1058,0.5829165
1059,0.21043117
1060,0.6135532
1061,0.564099
1062,0.81908345
1063,0.2606735
1064,0.32100108
1065,0.65699536
1066,0.63748413
1067,0.5452921
1068,0.35202968
1069,0.46296132
1070,0.42721424
1071,0.3757013
1072,0.6139785
1073,0.6677104
1074,0.5616957
1075,0.39786926
1076,0.6686119
1077,0.47746146
1078,0.45411006
1079,0.50151056
1080,0.54523456
1081,0.46041846
1082,0.41188064
1083,0.6314612
1084,0.56336415
1085,0.5232451
1086,0.4468573
1087,0.25295871
1088,0.56093276
1089,0.3648858
1090,0.61677074
1091,0.47511584
1092,0.4813394
1093,0.56420344
1094,0.5896933
1095,0.38952878
1096,0.50396955
1097,0.5914022
1098,0.49752975
1099,0.60889554
1100,0.4468573
1101,0.48711854
1102,0.54768986
1103,0.43624404
1104,0.6028547
1105,0.53461736
1106,0.38707304
1107,0.80200183
1108,0.56017023
1109,0.48368984
1110,0.48342428
1111,0.6066408
1112,0.57342976
1113,0.41226816
1114,0.3778497
1115,0.6270301
1116,0.5008073
1117,0.38576704
1118,0.6673903
1119,0.66460544
1120,0.7201435
1121,0.44776225
1122,0.54093945
1123,0.45262498
1124,0.41817203
1125,0.52027136
1126,0.50555015
1127,0.5451036
1128,0.38078645
1129,0.7473901
1130,0.5313939
1131,0.52849406
1132,0.47423434
1133,0.54484534
1134,0.17769326
1135,0.41780615
1136,0.32324085
1137,0.39833137
1138,0.6671265
1139,0.67886394
1140,0.6796745
1141,0.51333725
1142,0.53687066
1143,0.3817622
1144,0.5225919
1145,0.4802892
1146,0.36617208
1147,0.30878168
1148,0.61308825
1149,0.62636125
1150,0.47511584
1151,0.5747597
1152,0.63895035
1153,0.49090728
1154,0.48016796
1155,0.6811246
1156,0.4461628
1157,0.5109597
1158,0.4940007
1159,0.32547012
1160,0.5204445
1161,0.4942158
1162,0.5146831
1163,0.4666376
1164,0.44694543
1165,0.58628815
1166,0.79955924
1167,0.39486837
1168,0.7468778
1169,0.53055215
1170,0.56421113
1171,0.4841318
1172,0.5417894
1173,0.55542874
1174,0.4613011
1175,0.53698415
1176,0.38956523
1177,0.43581226
1178,0.46294686
1179,0.651717
1180,0.5190915
1181,0.43712196
1182,0.28240895
1183,0.54584676
1184,0.5641388
1185,0.5594856
1186,0.46268007
1187,0.53752875
1188,0.44938073
1189,0.5732753
1190,0.52355033
1191,0.53709674
1192,0.46823353
1193,0.64420307
1194,0.66851825
1195,0.19465058
1196,0.3742975
1197,0.7282308
1198,0.7273789
1199,0.48173818
1200,0.37330484
1201,0.44535354
1202,0.4797409
1203,0.48326257
1204,0.4071131
1205,0.65413773
1206,0.44854242
1207,0.32485652
1208,0.5132892
1209,0.5257315
1210,0.4288095
1211,0.2961628
1212,0.5157161
1213,0.43967617
1214,0.47099465
1215,0.41222358
1216,0.43527552
1217,0.50553656
1218,0.31528187
1219,0.57794636
1220,0.7855132
1221,0.5213196
1222,0.54966426
1223,0.53659445
1224,0.46997714
1225,0.38514262
1226,0.53563285
1227,0.13911338
1228,0.7281501
1229,0.64009225
1230,0.45059133
1231,0.43985185
1232,0.63283056
1233,0.5364758
1234,0.43245095
1235,0.4961769
1236,0.5953228
1237,0.6971734
1238,0.36056277
1239,0.5673628
1240,0.46704176
1241,0.5896933
1242,0.6492554
1243,0.45912224
1244,0.43961406
1245,0.4728793
1246,0.32938525
1247,0.46808812
1248,0.5728805
1249,0.29013884
1250,0.21597925
1251,0.18134512
1252,0.5165377
1253,0.51234376
1254,0.44157925
1255,0.2900671
1256,0.52477366
1257,0.20859371
1258,0.566404
1259,0.4802892
1260,0.43825585
1261,0.95355433
1262,0.49269354
1263,0.45100015
1264,0.6066776
1265,0.5602994
1266,0.29407868
1267,0.5833823
1268,0.43758926
1269,0.6387114
1270,0.53565276
1271,0.38846853
1272,0.4366226
1273,0.52169013
1274,0.30997422
1275,0.5741748
1276,0.41531488
1277,0.5345557
1278,0.43271732
1279,0.44400918
1280,0.5855395
1281,0.6296977
1282,0.617469
1283,0.5247839
1284,0.52463543
1285,0.48181793
1286,0.43342313
1287,0.5700761
1288,0.5427542
1289,0.6194872
1290,0.55818695
1291,0.4799022
1292,0.57146996
1293,0.7189582
1294,0.45341936
1295,0.53545886
1296,0.663366
1297,0.62561774
1298,0.24243708
1299,0.39153832
1300,0.52595866
1301,0.6324628
1302,0.5811709
1303,0.4156203
1304,0.3652754
1305,0.5020202
1306,0.47897834
1307,0.48747307
1308,0.5698164
1309,0.41849014
1310,0.41263375
1311,0.45491928
1312,0.59188366
1313,0.46322405
1314,0.34966436
1315,0.58227414
1316,0.712446
1317,0.47492802
1318,0.49463546
1319,0.47305167
1320,0.31423724
1321,0.3871292
1322,0.2684817
1323,0.4497098
1324,0.5348965
1325,0.50961447
1326,0.39889416
1327,0.18482439
1328,0.43582982
1329,0.5258973
1330,0.58671063
1331,0.53431803
1332,0.5763242
1333,0.7681075
1334,0.34566244
1335,0.44093165
1336,0.4577642
1337,0.5239959
1338,0.5661279
1339,0.45691606
1340,0.5775755
1341,0.5399853
1342,0.57476777
1343,0.49849582
1344,0.49786884
1345,0.5814585
1346,0.35178643
1347,0.61637956
1348,0.47161222
1349,0.34354913
1350,0.48195687
1351,0.6799814
1352,0.84343684
1353,0.52638215
1354,0.5642973
1355,0.43245095
1356,0.5609633
1357,0.5333
1358,0.7144986
1359,0.51788473
1360,0.58277595
1361,0.5870333
1362,0.55725735
1363,0.53339905
1364,0.5477872
1365,0.42147836
1366,0.5381822
1367,0.30415714
1368,0.43281013
1369,0.56867397
1370,0.4952956
1371,0.5294853
1372,0.5011592
1373,0.39515787
1374,0.4955174
1375,0.5899707
1376,0.549082
1377,0.6972419
1378,0.5483923
1379,0.42506742
1380,0.551609
1381,0.48868454
1382,0.5126131
1383,0.80245024
1384,0.6381135
1385,0.6799814
1386,0.47011372
1387,0.51684433
1388,0.53348225
1389,0.52414346
1390,0.3633345
1391,0.5717483
1392,0.18568845
1393,0.48922876
1394,0.50809306
1395,0.32230794
1396,0.53427696
1397,0.5913647
1398,0.6946278
1399,0.49015632
1400,0.49081123
1401,0.37714782
1402,0.5907711
1403,0.47693846
1404,0.5184173
1405,0.73204505
1406,0.5508784
1407,0.4298898
1408,0.47219035
1409,0.7180309
1410,0.59422725
1411,0.6218664
1412,0.4718992
1413,0.46817145
1414,0.36067536
1415,0.575517
1416,0.44477057
1417,0.57476777
1418,0.6972419
1419,0.68862355
1420,0.5082318
1421,0.48714298
1422,0.5812726
1423,0.40506887
1424,0.7012533
1425,0.49081123
1426,0.3989809
1427,0.49672285
1428,0.47000048
1429,0.5833808
1430,0.56069154
1431,0.6269555
1432,0.5384519
1433,0.505412
1434,0.43581226
1435,0.5057866
1436,0.6160871
1437,0.5662918
1438,0.526709
1439,0.5956577
1440,0.52847826
1441,0.4215498
1442,0.4594454
1443,0.5192919
1444,0.5292168
1445,0.48368707
1446,0.5391887
1447,0.5360207
1448,0.5671604
1449,0.45773664
1450,0.4813394
1451,0.8204711
1452,0.37222528
1453,0.797711
1454,0.5462453
1455,0.42716777
1456,0.42597544
1457,0.48230106
1458,0.42851105
1459,0.5082582
1460,0.5170466
1461,0.7096143
1462,0.63503903
1463,0.7774403
1464,0.6312514
1465,0.4368395
1466,0.26852143
1467,0.34280774
1468,0.32248077
1469,0.41664684
1470,0.6966327
1471,0.47350377
1472,0.5256789
1473,0.37047273
1474,0.46185645
1475,0.4559141
1476,0.45987695
1477,0.3434154
1478,0.5057866
1479,0.41539255
1480,0.61717516
1481,0.52516806
1482,0.58551896
1483,0.40806782
1484,0.67410195
1485,0.48677358
1486,0.5095053
1487,0.57793915
1488,0.50720984
1489,0.6918927
1490,0.4793539
1491,0.46858162
1492,0.45270327
1493,0.4153742
1494,0.39085114
1495,0.49390483
1496,0.35891247
1497,0.470661
1498,0.48133925
1499,0.6514776
1500,0.37193713
1501,0.20729573
1502,0.403103
1503,0.51185876
1504,0.466362
1505,0.6424462
1506,0.4480714
1507,0.6229176
1508,0.42690903
1509,0.4757621
1510,0.8186482
1511,0.4926083
1512,0.5683254
1513,0.5454882
1514,0.3910116
1515,0.32324085
1516,0.42847314
1517,0.43802437
1518,0.44032893
1519,0.4022262
1520,0.42783946
1521,0.3693208
1522,0.57327175
1523,0.76016253
1524,0.5164938
1525,0.35229814
1526,0.6615264
1527,0.42568222
1528,0.5233686
1529,0.5205877
1530,0.61493295
1531,0.4908757
1532,0.34966436
1533,0.50487083
1534,0.54054534
1535,0.47368485
1536,0.52820945
1537,0.40679502
1538,0.6745034
1539,0.5905964
1540,0.4335741
1541,0.38309723
1542,0.57881695
1543,0.52670705
1544,0.46689394
1545,0.5932953
1546,0.696312
1547,0.6046273
1548,0.62663794
1549,0.5564402
1550,0.43712196
1551,0.51061594
1552,0.45773664
1553,0.41539255
1554,0.3900286
1555,0.5599752
1556,0.541224
1557,0.06349186
1558,0.5829165
1559,0.50193286
1560,0.5642444
1561,0.5427738
1562,0.6060144
1563,0.55204225
1564,0.6048418
1565,0.4801405
1566,0.35685435
1567,0.51659364
1568,0.5639776
1569,0.8726647
1570,0.6828165
1571,0.50185156
1572,0.46262282
1573,0.6934474
1574,0.51875556
1575,0.47370678
1576,0.5155308
1577,0.59544367
1578,0.48237005
1579,0.5623281
1580,0.5713556
1581,0.17350933
1582,0.57267815
1583,0.67973095
1584,0.64763165
1585,0.11869705
1586,0.52343875
1587,0.40553075
1588,0.5213196
1589,0.4633253
1590,0.43021822
1591,0.6144176
1592,0.56196344
1593,0.49310085
1594,0.37367648
1595,0.25719357
1596,0.29407397
1597,0.62226105
1598,0.4940007
1599,0.5144413
1600,0.53336304
1601,0.45641473
1602,0.5833823
1603,0.31182823
1604,0.33106518
1605,0.5706349
1606,0.26010624
1607,0.62960094
1608,0.3192072
1609,0.4575457
1610,0.57692695
1611,0.4366226
1612,0.40041655
1613,0.497704
1614,0.5491141
1615,0.45619655
1616,0.50298196
1617,0.48871562
1618,0.5292168
1619,0.587268
1620,0.44466773
1621,0.56001693
1622,0.22395802
1623,0.531498
1624,0.50273013
1625,0.3631563
1626,0.43775335
1627,0.32635963
1628,0.4309
1629,0.60653377
1630,0.42616248
1631,0.4961569
1632,0.5815647
1633,0.57701826
1634,0.5104488
1635,0.5008682
1636,0.43762538
1637,0.6324628
1638,0.5033714
1639,0.5323026
1640,0.4113983
1641,0.52670705
1642,0.61708516
1643,0.487775
1644,0.35178643
1645,0.48047388
1646,0.5384519
1647,0.59088105
1648,0.49168935
1649,0.57476777
1650,0.4424182
1651,0.33723813
1652,0.6245583
1653,0.6627762
1654,0.47973406
1655,0.5346787
1656,0.40326047
1657,0.24285436
1658,0.54052585
1659,0.5921796
1660,0.3179182
1661,0.5971526
1662,0.45074472
1663,0.5802642
1664,0.46817145
1665,0.6348146
1666,0.4497503
1667,0.5219829
1668,0.49226472
1669,0.5597304
1670,0.29919875
1671,0.47529286
1672,0.33435762
1673,0.47482598
