,country,count_total,cust_id,churn
184,CD,108,10,Yes
185,AB,11,3,No
186,CD,31,19,No
187,CD,153,1,Yes
188,CD,127,6,Yes
189,CD,124,14,Yes
190,AB,70,4,Yes
191,CD,20,4,Yes
192,AB,34,5,Yes
193,AB,125,17,Yes
194,CD,77,15,No
195,CD,149,17,Yes
196,CD,119,15,Yes
197,AB,83,5,No
198,AB,76,12,Yes
199,AB,48,2,Yes
200,CD,50,3,No
201,AB,22,1,Yes
202,CD,123,17,Yes
203,AB,43,11,Yes
204,CD,150,13,No
205,AB,179,13,Yes
206,AB,90,11,Yes
207,CD,13,16,No
208,AB,154,19,No
209,CD,28,8,No
210,AB,56,8,Yes
211,AB,19,8,No
212,CD,9,13,Yes
213,CD,64,19,No
214,AB,178,17,Yes
215,CD,8,13,Yes
216,AB,131,11,No
217,AB,98,14,Yes
218,CD,8,16,No
219,AB,115,16,Yes
220,AB,75,7,Yes
221,AB,156,1,No
222,CD,112,7,No
223,CD,66,5,Yes
224,AB,91,3,No
225,CD,8,15,Yes
226,AB,11,6,No
227,AB,102,16,Yes
228,AB,135,14,No
229,AB,39,7,Yes
230,AB,31,17,Yes
231,CD,117,6,Yes
232,AB,77,13,Yes
233,CD,158,11,Yes
234,CD,154,15,Yes
235,CD,115,12,No
236,CD,8,3,No
237,AB,156,3,No
238,CD,23,1,No
239,CD,144,14,Yes
240,AB,58,9,No
241,AB,74,1,Yes
242,AB,77,1,No
243,AB,24,11,Yes
244,AB,178,16,Yes
245,CD,87,16,No
246,CD,5,1,No
247,AB,117,4,No
248,AB,2,18,Yes
249,CD,107,6,No
250,AB,152,15,Yes
251,CD,128,8,Yes
252,AB,102,10,Yes
253,CD,100,9,No
254,CD,107,12,No
255,AB,73,19,No
256,CD,134,11,No
257,AB,35,6,No
258,AB,7,16,Yes
259,CD,19,11,No
260,CD,143,5,No
261,CD,66,14,Yes
262,CD,151,14,Yes
263,CD,132,5,Yes
264,AB,51,12,Yes
265,CD,20,3,Yes
266,AB,147,2,No
267,AB,43,5,Yes
268,CD,170,5,Yes
269,AB,137,13,No
270,AB,43,12,Yes
271,CD,167,9,No
272,AB,43,17,No
273,AB,97,13,No
274,AB,97,11,No
275,CD,146,8,No
276,CD,139,7,Yes
277,CD,11,16,No
278,CD,25,5,No
279,AB,133,6,Yes
280,CD,164,11,No
281,CD,110,12,No
282,AB,69,1,No
283,CD,27,7,Yes
284,CD,100,2,No
285,AB,171,3,No
286,CD,2,15,Yes
287,AB,89,10,No
288,AB,176,7,Yes
289,CD,119,5,No
290,AB,171,14,No
291,CD,37,15,No
292,AB,59,2,Yes
293,AB,67,1,Yes
294,CD,26,8,Yes
295,AB,156,18,Yes
296,AB,85,9,No
297,AB,130,13,Yes
298,CD,130,3,Yes
299,CD,64,14,No
300,AB,35,10,No
301,CD,37,16,Yes
302,AB,123,6,Yes
303,AB,147,13,Yes
304,AB,144,8,No
305,CD,64,6,Yes
306,CD,29,17,No
307,CD,76,10,No
308,CD,64,7,Yes
309,CD,68,14,No
310,AB,100,2,Yes
311,AB,6,2,Yes
312,CD,53,7,Yes
313,CD,179,5,No
314,CD,114,14,Yes
315,AB,5,7,No
316,CD,37,11,No
317,CD,53,8,No
318,AB,27,15,No
319,AB,102,14,Yes
320,AB,178,19,No
321,AB,65,9,No
322,AB,40,5,No
323,AB,94,14,Yes
324,AB,124,8,No
325,AB,1,11,Yes
326,CD,118,3,Yes
327,CD,101,15,Yes
328,CD,92,5,Yes
329,CD,118,16,Yes
330,CD,69,6,No
331,AB,105,8,No
332,AB,36,2,Yes
333,CD,169,11,Yes
334,AB,177,16,No
335,CD,68,5,Yes
336,AB,76,3,No
337,CD,77,11,Yes
338,CD,45,1,Yes
339,AB,11,5,Yes
340,CD,89,3,Yes
341,CD,131,1,Yes
342,AB,154,5,No
343,AB,2,12,No
344,AB,175,10,No
345,CD,162,7,Yes
346,CD,127,19,No
347,CD,110,19,Yes
348,AB,104,12,Yes
349,CD,96,2,No
350,AB,43,18,No
351,CD,35,9,Yes
352,AB,33,8,Yes
353,AB,98,2,Yes
354,CD,10,17,No
355,CD,96,18,No
356,CD,98,4,Yes
357,AB,161,14,Yes
358,CD,58,15,Yes
359,AB,112,7,Yes
360,CD,111,13,Yes
361,CD,36,4,No
362,AB,124,3,No
363,CD,68,15,No
364,CD,132,17,No
365,AB,11,12,Yes
366,CD,35,9,Yes
367,CD,176,19,No
368,CD,112,16,No
369,CD,153,19,Yes
370,CD,123,12,Yes
371,AB,4,16,No
372,CD,150,7,Yes
373,CD,121,14,No
374,CD,63,7,No
375,AB,136,5,Yes
376,CD,140,7,No
377,CD,61,9,Yes
378,AB,74,2,No
379,AB,90,2,No
380,AB,75,14,Yes
381,AB,3,2,No
382,CD,58,11,No
383,CD,87,4,No
384,CD,118,14,Yes
385,AB,42,7,Yes
386,AB,128,18,Yes
387,CD,49,2,No
388,AB,122,16,No
389,AB,23,3,Yes
390,AB,87,6,Yes
391,AB,62,7,Yes
392,CD,35,11,Yes
393,CD,114,6,Yes
394,AB,50,15,No
395,CD,57,4,No
396,AB,25,4,No
397,CD,103,4,No
398,AB,53,7,Yes
399,CD,168,3,Yes
400,AB,47,4,Yes
401,CD,138,18,Yes
402,CD,164,2,No
403,AB,114,15,Yes
404,CD,44,17,No
405,CD,97,5,Yes
406,CD,111,13,No
407,AB,141,7,Yes
408,CD,88,19,Yes
409,AB,95,14,No
410,CD,13,3,No
411,AB,144,14,Yes
412,CD,33,4,Yes
413,AB,57,5,Yes
414,AB,22,14,No
415,AB,43,2,No
416,CD,21,19,No
417,CD,104,3,Yes
418,CD,164,14,Yes
419,CD,107,4,No
420,AB,3,6,Yes
421,CD,106,2,No
422,AB,49,6,No
423,CD,55,6,No
424,AB,99,8,Yes
425,CD,60,11,Yes
426,AB,172,11,No
427,AB,50,7,Yes
428,CD,62,15,Yes
429,CD,31,4,Yes
430,AB,7,17,Yes
431,CD,42,14,Yes
432,CD,10,1,No
433,CD,159,9,No
434,AB,114,16,Yes
435,AB,23,15,No
436,CD,11,1,No
437,AB,164,8,Yes
438,AB,142,3,Yes
439,AB,126,5,Yes
440,CD,18,10,Yes
441,AB,101,2,No
442,CD,56,12,Yes
443,CD,70,2,No
444,AB,17,8,Yes
445,AB,29,5,Yes
446,AB,20,2,No
447,CD,18,15,Yes
448,AB,167,16,Yes
449,CD,49,15,Yes
450,CD,157,3,No
451,CD,167,10,Yes
452,AB,38,3,Yes
453,AB,159,12,Yes
454,CD,88,14,Yes
455,CD,36,18,No
456,CD,156,18,No
457,CD,124,1,Yes
458,AB,101,5,Yes
459,CD,20,19,No
460,AB,74,5,Yes
461,CD,144,13,No
462,CD,38,8,No
463,AB,157,18,Yes
464,AB,100,2,No
465,AB,29,10,No
466,AB,62,12,Yes
467,AB,71,14,Yes
468,CD,149,17,No
469,AB,94,4,No
470,CD,7,16,No
471,CD,20,13,Yes
472,CD,114,13,No
473,CD,35,9,Yes
474,CD,109,8,No
475,AB,132,19,Yes
476,CD,67,7,Yes
477,AB,79,10,Yes
478,CD,129,1,Yes
479,CD,84,2,Yes
480,CD,19,6,Yes
481,AB,160,2,No
482,AB,86,1,No
483,AB,76,7,No
484,AB,65,1,Yes
485,AB,101,6,Yes
486,AB,37,13,Yes
487,CD,12,11,Yes
488,CD,56,19,No
489,CD,115,14,Yes
490,AB,120,14,Yes
491,CD,27,5,No
492,CD,95,17,No
493,CD,27,14,No
494,AB,71,11,No
495,CD,42,15,Yes
496,CD,161,9,Yes
497,CD,73,4,No
498,CD,78,13,Yes
499,CD,143,4,Yes
500,CD,3,8,Yes
501,AB,23,19,Yes
502,CD,130,11,No
503,CD,85,6,No
504,CD,76,14,No
505,AB,1,19,Yes
506,AB,42,6,No
507,AB,4,2,Yes
508,CD,149,14,No
509,AB,163,8,No
510,CD,40,18,Yes
511,AB,97,10,No
512,AB,113,11,No
513,CD,143,10,No
514,CD,135,8,Yes
515,CD,119,2,No
516,CD,55,12,Yes
517,AB,154,4,No
518,CD,55,12,Yes
519,CD,56,7,No
520,CD,15,15,No
521,CD,80,11,Yes
522,AB,176,16,No
523,CD,137,19,Yes
524,CD,100,6,Yes
525,AB,146,9,No
526,CD,35,10,No
527,CD,172,11,No
528,CD,171,17,Yes
529,CD,44,9,Yes
530,AB,100,5,Yes
531,AB,32,16,No
532,AB,78,16,Yes
533,CD,71,16,Yes
534,AB,88,4,Yes
535,AB,75,7,No
536,CD,130,13,Yes
537,CD,167,15,Yes
538,CD,63,11,No
539,CD,112,6,No
540,AB,178,5,Yes
541,AB,1,1,No
542,CD,97,14,No
543,CD,96,7,No
544,AB,52,5,No
545,AB,159,17,Yes
546,AB,41,17,No
547,AB,6,10,No
548,AB,2,6,Yes
549,CD,161,14,No
550,CD,97,4,No
551,CD,178,6,Yes
552,AB,15,6,No
553,AB,134,9,No
554,CD,148,4,Yes
555,AB,114,10,Yes
556,CD,161,14,No
557,CD,89,6,No
558,CD,96,16,Yes
559,AB,56,2,No
560,CD,51,17,No
561,AB,101,12,No
562,CD,71,19,Yes
563,AB,62,7,Yes
564,AB,86,14,No
565,CD,48,9,No
566,CD,46,10,No
567,CD,153,14,Yes
568,AB,112,8,Yes
569,CD,8,2,No
570,AB,147,2,Yes
571,CD,108,8,No
572,CD,151,3,No
573,CD,51,10,No
574,AB,118,13,Yes
575,AB,65,4,No
576,CD,149,15,No
577,CD,76,11,Yes
578,CD,11,5,No
579,AB,178,3,Yes
580,CD,5,10,Yes
581,AB,53,11,Yes
582,AB,114,8,No
583,AB,152,7,No
584,AB,68,11,No
585,CD,121,4,No
586,AB,79,6,Yes
587,AB,58,2,Yes
588,CD,6,5,Yes
589,AB,16,18,Yes
590,CD,24,5,Yes
591,CD,91,10,Yes
592,CD,2,9,No
593,AB,152,6,No
594,CD,163,19,Yes
595,AB,36,4,Yes
596,CD,137,10,No
597,CD,22,9,No
598,CD,113,12,Yes
599,CD,171,13,No
600,AB,27,12,No
601,CD,9,3,Yes
602,AB,171,8,Yes
603,CD,133,8,No
604,CD,162,6,Yes
605,CD,57,19,No
606,CD,41,1,No
607,CD,177,13,No
608,AB,179,9,No
609,AB,149,2,No
610,AB,58,5,Yes
611,CD,1,14,No
612,CD,135,9,Yes
613,CD,19,14,Yes
614,AB,11,5,Yes
615,AB,103,8,No
616,AB,102,5,No
617,AB,83,13,No
618,CD,79,4,Yes
619,AB,23,8,Yes
620,CD,30,6,Yes
621,CD,36,19,No
622,AB,160,11,Yes
623,AB,167,16,Yes
624,AB,91,14,No
625,CD,50,10,Yes
626,CD,5,5,No
627,CD,175,14,Yes
628,CD,161,3,No
629,AB,169,17,No
630,AB,172,1,No
631,AB,97,5,No
632,CD,142,19,Yes
633,CD,73,15,No
634,CD,167,1,Yes
635,AB,132,3,Yes
636,AB,58,9,Yes
637,CD,18,19,Yes
638,AB,157,4,No
639,CD,88,18,No
640,CD,155,3,No
641,AB,145,10,No
642,CD,150,10,Yes
643,CD,177,11,Yes
644,CD,122,1,Yes
645,CD,99,16,No
646,CD,29,9,Yes
647,AB,77,11,Yes
648,AB,87,2,Yes
649,AB,160,11,No
650,AB,136,5,No
651,AB,162,13,Yes
652,AB,64,17,No
653,AB,39,3,Yes
654,CD,48,8,No
655,AB,124,7,No
656,CD,75,15,No
657,CD,6,7,No
658,CD,174,12,Yes
659,AB,81,12,Yes
660,AB,20,11,Yes
661,CD,5,15,No
662,CD,129,9,Yes
663,AB,146,7,No
664,AB,52,17,Yes
665,CD,178,3,Yes
666,AB,116,10,Yes
667,CD,154,1,Yes
668,CD,81,6,Yes
669,CD,51,12,No
670,CD,35,12,Yes
671,CD,61,4,Yes
672,AB,179,6,Yes
673,AB,17,3,No
674,CD,4,13,No
675,CD,100,11,Yes
676,AB,101,19,No
677,CD,151,10,No
678,AB,175,11,No
679,CD,162,5,Yes
680,CD,129,18,Yes
681,CD,177,19,Yes
682,CD,50,10,Yes
683,AB,153,15,Yes
684,AB,52,18,No
685,AB,73,15,Yes
686,AB,176,18,No
687,CD,72,13,Yes
688,AB,17,6,Yes
689,CD,157,1,No
690,AB,130,10,No
691,AB,63,16,Yes
692,AB,117,14,No
693,AB,1,8,Yes
694,AB,31,13,No
695,CD,154,11,Yes
696,AB,160,6,Yes
697,CD,112,7,No
698,AB,104,18,Yes
699,AB,37,16,No
700,CD,83,7,No
701,AB,49,7,Yes
702,CD,82,9,No
703,CD,118,15,Yes
704,CD,166,15,Yes
705,AB,104,18,Yes
706,CD,109,13,Yes
707,CD,109,8,Yes
708,CD,78,3,No
709,CD,82,8,Yes
710,AB,23,19,No
711,CD,148,11,No
712,CD,37,14,No
713,AB,176,14,No
714,CD,47,10,Yes
715,AB,67,8,Yes
716,CD,110,8,No
717,CD,150,5,Yes
718,CD,96,4,No
719,CD,9,18,No
720,CD,5,6,No
721,AB,148,16,Yes
722,CD,51,17,Yes
723,AB,42,6,No
724,CD,74,5,Yes
725,AB,79,3,Yes
726,CD,21,5,No
727,CD,11,15,No
728,CD,85,5,No
729,AB,84,11,Yes
730,AB,70,16,No
731,AB,20,3,Yes
732,AB,125,10,No
733,AB,40,19,No
734,CD,101,11,No
735,AB,95,6,Yes
736,CD,68,1,No
737,CD,95,16,No
738,CD,50,16,Yes
739,CD,151,6,No
740,AB,103,9,Yes
741,AB,106,1,No
742,CD,116,14,No
743,CD,100,5,Yes
744,CD,140,10,No
745,CD,144,3,Yes
746,AB,113,17,No
747,CD,91,6,Yes
748,CD,150,15,No
749,AB,165,8,Yes
750,AB,106,5,No
751,AB,16,2,No
752,AB,52,1,No
753,AB,151,4,No
754,AB,151,15,Yes
755,AB,48,12,Yes
756,CD,108,18,No
757,CD,35,3,No
758,CD,141,15,Yes
759,AB,52,18,Yes
760,CD,37,8,Yes
761,AB,18,5,Yes
762,CD,127,5,No
763,AB,147,1,No
764,AB,150,12,No
765,AB,116,1,Yes
766,AB,2,14,Yes
767,AB,52,12,No
768,AB,101,9,No
769,AB,103,16,Yes
770,CD,170,9,No
771,CD,6,8,No
772,CD,24,18,No
773,CD,137,19,No
774,CD,85,18,Yes
775,CD,53,15,Yes
776,CD,68,11,No
777,AB,63,4,Yes
778,AB,94,16,No
779,CD,2,12,No
780,CD,20,17,Yes
781,CD,144,17,Yes
782,CD,168,14,No
783,AB,94,5,No
784,AB,112,6,No
785,AB,55,19,No
786,AB,108,12,No
787,CD,63,17,No
788,CD,77,10,Yes
789,CD,129,11,No
790,CD,100,17,Yes
791,CD,40,11,No
792,AB,63,9,Yes
793,AB,151,1,Yes
794,AB,8,4,Yes
795,AB,155,15,Yes
796,AB,132,14,Yes
797,AB,105,12,Yes
798,CD,129,12,No
799,AB,35,17,Yes
800,CD,9,6,Yes
801,CD,123,11,Yes
802,AB,30,19,Yes
803,AB,179,3,No
804,AB,142,18,No
805,AB,65,10,No
806,AB,126,5,Yes
807,AB,131,8,No
808,AB,39,17,Yes
809,AB,45,12,No
810,CD,58,15,Yes
811,CD,123,15,Yes
812,CD,56,15,Yes
813,AB,94,2,No
814,CD,7,1,No
815,AB,37,15,No
816,CD,177,13,Yes
817,CD,105,3,No
818,CD,102,6,Yes
819,CD,102,1,No
820,AB,12,9,No
821,CD,144,17,Yes
822,CD,138,14,No
823,AB,137,19,No
824,CD,43,19,Yes
825,AB,120,14,No
826,AB,23,7,No
827,AB,11,6,No
828,AB,165,1,No
829,CD,5,2,No
830,AB,169,11,No
831,CD,49,8,No
832,AB,108,12,No
833,AB,42,9,Yes
834,CD,15,9,No
835,AB,112,4,Yes
836,AB,128,9,No
837,AB,122,7,No
838,AB,58,19,Yes
839,AB,129,18,Yes
840,CD,17,14,No
841,CD,32,13,Yes
842,AB,172,13,Yes
843,CD,164,1,Yes
844,AB,122,8,No
845,CD,20,11,Yes
846,AB,36,14,No
847,AB,95,17,Yes
848,CD,19,10,No
849,CD,31,8,Yes
850,CD,132,11,Yes
851,AB,68,5,Yes
852,AB,69,8,Yes
853,AB,60,5,Yes
854,AB,111,14,Yes
855,CD,73,12,Yes
856,AB,23,3,No
857,CD,143,4,No
858,CD,65,8,Yes
859,AB,52,6,No
860,CD,157,17,Yes
861,AB,135,17,No
862,CD,105,11,No
863,AB,26,2,Yes
864,AB,23,18,No
865,AB,51,4,Yes
866,CD,132,13,Yes
867,CD,57,13,Yes
868,CD,156,7,No
869,AB,64,2,Yes
870,AB,148,9,No
871,CD,52,18,No
872,AB,175,11,No
873,CD,78,14,No
874,AB,6,16,Yes
875,AB,76,19,Yes
876,CD,156,18,No
877,AB,163,11,No
878,AB,36,9,Yes
879,AB,7,7,Yes
880,CD,173,14,No
881,CD,82,2,Yes
882,CD,50,1,No
883,CD,34,6,Yes
884,AB,154,6,No
885,AB,130,14,Yes
886,CD,14,11,No
887,CD,108,17,No
888,AB,123,9,Yes
889,AB,153,19,Yes
890,AB,24,15,No
891,AB,13,9,Yes
892,AB,28,4,Yes
893,CD,119,18,Yes
894,CD,135,19,No
895,CD,99,8,Yes
896,AB,128,6,No
897,AB,8,5,Yes
898,CD,178,19,No
899,CD,98,12,No
900,AB,2,18,No
901,CD,30,14,Yes
902,AB,159,16,Yes
903,CD,12,2,No
904,CD,80,8,Yes
905,AB,156,16,Yes
906,CD,97,10,Yes
907,CD,137,8,No
908,CD,134,2,No
909,AB,152,11,No
910,AB,167,5,Yes
911,CD,73,5,Yes
912,AB,157,11,No
913,CD,14,19,Yes
914,CD,133,13,No
915,CD,169,8,Yes
916,AB,68,19,No
917,CD,69,13,No
918,AB,19,9,No
919,CD,102,3,No
920,CD,100,11,Yes
921,CD,3,17,Yes
922,CD,7,12,Yes
923,AB,15,17,Yes
924,AB,53,7,Yes
925,CD,143,4,No
926,CD,68,18,Yes
927,AB,4,5,No
928,AB,76,9,Yes
929,CD,94,13,No
930,AB,76,1,No
931,AB,29,16,Yes
932,AB,85,2,No
933,AB,39,17,No
934,CD,144,5,Yes
935,CD,26,12,No
936,AB,59,7,No
937,CD,140,12,Yes
938,AB,69,3,No
939,AB,131,4,No
940,CD,42,3,No
941,AB,95,13,Yes
942,CD,150,10,No
943,AB,116,8,No
944,CD,117,3,Yes
945,CD,102,19,Yes
946,CD,60,10,Yes
947,AB,68,10,Yes
948,CD,34,5,No
949,CD,35,18,Yes
950,CD,158,10,No
951,AB,66,3,Yes
952,CD,73,3,No
953,AB,2,12,Yes
954,AB,108,16,No
955,AB,161,17,Yes
956,CD,128,18,Yes
957,CD,47,16,No
958,CD,103,14,No
959,AB,14,19,Yes
960,AB,59,3,No
961,AB,166,9,Yes
962,AB,73,12,Yes
963,AB,146,13,No
964,AB,16,19,No
965,CD,58,2,Yes
966,CD,136,16,No
967,AB,6,3,No
968,AB,19,7,No
969,AB,159,2,No
970,CD,74,4,Yes
971,AB,165,1,No
972,CD,50,4,Yes
973,AB,105,10,No
974,CD,150,11,No
975,AB,9,1,No
976,AB,165,13,Yes
977,AB,178,8,Yes
978,CD,32,1,Yes
979,AB,29,18,No
980,CD,104,9,No
981,CD,18,6,No
982,AB,52,10,Yes
983,AB,2,3,No
984,CD,33,10,No
985,CD,134,1,No
986,AB,12,4,No
987,CD,40,19,No
988,CD,176,7,Yes
989,AB,17,14,No
990,AB,75,15,Yes
991,CD,40,12,No
992,AB,64,1,Yes
993,CD,115,19,No
994,AB,15,11,No
995,AB,28,17,Yes
996,CD,29,13,No
997,AB,179,12,Yes
998,AB,151,12,Yes
999,CD,33,16,Yes
1000,CD,115,14,Yes
1001,CD,68,5,No
1002,CD,88,4,Yes
1003,AB,142,8,No
1004,CD,5,10,No
1005,CD,53,14,Yes
1006,AB,6,4,Yes
1007,AB,46,4,Yes
1008,CD,6,19,Yes
1009,CD,83,3,Yes
1010,AB,53,5,No
1011,CD,154,2,Yes
1012,CD,160,5,Yes
1013,CD,136,13,No
1014,CD,82,7,No
1015,AB,119,18,Yes
1016,CD,37,7,No
1017,AB,95,4,No
1018,AB,176,7,No
1019,CD,57,2,No
1020,CD,52,18,No
1021,CD,33,11,No
1022,CD,42,9,No
1023,AB,98,10,No
1024,CD,35,10,Yes
1025,CD,161,12,No
1026,AB,17,17,No
1027,CD,79,11,Yes
1028,CD,6,2,Yes
1029,CD,122,12,Yes
1030,AB,125,18,No
1031,CD,121,15,Yes
1032,CD,139,7,Yes
1033,AB,108,4,Yes
1034,AB,163,9,Yes
1035,CD,159,10,Yes
1036,CD,30,8,Yes
1037,AB,37,2,No
1038,CD,111,18,Yes
1039,CD,160,3,No
1040,CD,115,10,No
1041,CD,55,12,Yes
1042,CD,157,2,Yes
1043,CD,148,7,Yes
1044,CD,27,6,No
1045,CD,29,1,Yes
1046,AB,61,3,Yes
1047,AB,82,17,No
1048,CD,22,10,Yes
1049,AB,139,14,No
1050,CD,83,15,Yes
1051,CD,78,14,Yes
1052,CD,101,19,Yes
1053,CD,134,4,No
1054,AB,61,17,Yes
1055,AB,10,12,Yes
1056,AB,138,8,No
1057,AB,90,6,Yes
1058,AB,122,17,Yes
1059,AB,6,6,No
1060,CD,96,18,No
1061,AB,61,4,No
1062,AB,8,3,Yes
1063,CD,4,7,Yes
1064,AB,91,11,Yes
1065,CD,119,18,No
1066,AB,70,6,Yes
1067,CD,129,15,Yes
1068,CD,146,1,Yes
1069,AB,10,6,Yes
1070,CD,85,16,No
1071,AB,75,16,No
1072,CD,104,3,Yes
1073,CD,163,17,Yes
1074,CD,167,3,No
1075,CD,141,8,No
1076,CD,59,15,No
1077,CD,69,10,No
1078,CD,150,6,No
1079,CD,95,3,Yes
1080,AB,171,5,Yes
1081,CD,79,11,No
1082,CD,41,11,No
1083,AB,165,6,Yes
1084,AB,41,6,No
1085,CD,116,12,Yes
1086,AB,54,9,No
1087,AB,38,15,No
1088,AB,111,9,Yes
1089,AB,95,1,No
1090,CD,59,17,Yes
1091,CD,50,9,Yes
1092,AB,24,7,Yes
1093,CD,8,10,No
1094,CD,8,16,No
1095,CD,91,15,Yes
1096,CD,47,15,Yes
1097,AB,131,18,Yes
1098,CD,158,3,No
1099,AB,141,5,No
1100,AB,54,9,No
1101,CD,10,15,No
1102,CD,40,9,No
1103,AB,29,13,Yes
1104,AB,40,4,Yes
1105,CD,65,13,No
1106,CD,131,12,No
1107,CD,20,18,Yes
1108,CD,67,17,Yes
1109,AB,27,3,Yes
1110,AB,160,3,No
1111,AB,79,5,No
1112,CD,79,17,Yes
1113,CD,8,1,No
1114,AB,22,16,No
1115,CD,45,16,Yes
1116,CD,75,3,Yes
1117,CD,157,2,Yes
1118,AB,103,9,Yes
1119,AB,59,13,Yes
1120,AB,18,17,Yes
1121,CD,165,13,No
1122,AB,128,16,No
1123,CD,155,2,Yes
1124,AB,130,16,No
1125,CD,88,14,Yes
1126,AB,150,11,No
1127,CD,79,8,Yes
1128,AB,109,1,No
1129,CD,63,2,Yes
1130,CD,101,15,Yes
1131,AB,106,2,Yes
1132,AB,25,13,Yes
1133,CD,116,11,Yes
1134,AB,107,19,No
1135,CD,141,13,Yes
1136,AB,62,18,No
1137,CD,13,15,Yes
1138,AB,161,7,No
1139,CD,136,7,Yes
1140,CD,7,17,No
1141,AB,10,11,No
1142,CD,130,15,Yes
1143,AB,153,9,No
1144,AB,112,5,No
1145,AB,152,5,Yes
1146,CD,7,9,Yes
1147,CD,83,1,No
1148,AB,128,7,Yes
1149,AB,140,16,Yes
1150,CD,50,9,No
1151,AB,39,4,Yes
